approved?,country,Email,list_platforms,list_tags,Name,phone,photo,score,timezone_name,developerID,match_count
yes,Russian Federation,ultrices@google.com,"English , C# , My Salesforce , Shopify , UX/UI Design , Adobe Photoshop , Elementor Pro (plugin for WordPress)","Renewables & Environment , Accounting , Newspapers , Political Organization , Biotechnology",Petra Velasquez,(883) 887-7861,https://randomuser.me/api/portraits/women/24.jpg,4,Asia/Novosibirsk,G2ldXIZP,2
yes,Netherlands,a.dui@hotmail.ca,"English , Flutter , Canva , My Salesforce , Wordpress , Tableau , Elementor (plugin for Wordpress)","Museums and Institutions , Music , Management Consulting , Wireless , Health",Heidi Walters,1-621-682-1135,https://randomuser.me/api/portraits/men/90.jpg,4,Europe/Amsterdam,sl0Z79SJ,2
yes,Germany,tellus.phasellus@google.ca,"Wordpress , English, Stripe , My Salesforce , Selenium , AppGyver","Photography , Law Practice , Museums and Institutions , Computer Networking , Outsourcing/Offshoring",Zelda Underwood,(371) 562-2087,https://randomuser.me/api/portraits/women/63.jpg,3,Europe/Berlin,QyRMZBo5,2
yes,Netherlands,nunc.commodo.auctor@outlook.com,"English , My Salesforce , Divi (WordPress plugin) , Custom Code , UX/UI Design , Zoho Creator","Logistics and Supply Chain , Chemicals , Capital Markets , Program Development , Management Consulting",Herrod Hensley,(283) 452-2032,https://randomuser.me/api/portraits/women/61.jpg,3,Europe/Amsterdam,BGjZboWf,2
no,Spain,at.arcu@hotmail.com,"QA , API Connector , My Salesforce , FlutterFlow , Salesforce","Law Practice , Political Organization , Tobacco , Management Consulting , Telecommunications",Uriah Glover,1-852-113-8162,https://randomuser.me/api/portraits/women/71.jpg,3,Europe/Madrid,nl8agnKG,2
no,Brazil,cras.convallis.convallis@yahoo.couk,"Flutter , English , Bubble , HTML , Elementor Pro (plugin for WordPress) , Postman , Salesforce","Biotechnology , Restaurants , Music , Law Practice , Museums and Institutions",Brennan Wallace,1-768-505-5294,https://randomuser.me/api/portraits/women/79.jpg,2,America/Belem,VgEZ9XtQ,2
yes,Australia,ac.mattis@yahoo.edu,"English , My Salesforce , Figma , Stripe , Mailchimp , FlutterFlow","Public Relations and Communications , Primary/Secondary Education , Outsourcing/Offshoring , Human Resources , Chemicals",Omar Harrison,1-237-289-9160,https://randomuser.me/api/portraits/women/58.jpg,2,Australia/Brisbane,4exEoo4K,2
no,Philippines,pharetra.felis.eget@protonmail.net,"Figma , UX/UI Design , Postman , Bubble , Salesforce , FlutterFlow , UserTesting","Accounting , Farming , International Trade and Development , Electrical/Electronic Manufacturing , Chemicals",Blossom Lee,(585) 806-0729,https://randomuser.me/api/portraits/men/72.jpg,2,Asia/Manila,ymonkvVd,2
no,Germany,massa.vestibulum.accumsan@hotmail.com,"Adalo , Bubble , Adobe Photoshop , Salesforce , QA , Adobe XD , Wordpress","Program Development , Photography , Research , Alternative Medicine , Telecommunications",Gil Holt,1-477-659-3290,https://randomuser.me/api/portraits/men/99.jpg,1,Europe/Berlin,89PXlizC,2
yes,United States,dapibus@outlook.edu,"Bubble , Bubble+JS (plugin) , Drip , Salesforce , Xero , Balsamiq Wireframes , Docmosis , Docparser , Hackeet , Abstra , Typeform , Xano , English , Airtable , Adalo , CodePen , Google Sheets , Shopify , Microsoft PowerApps , API Connector , Tilda , Figma","Medical Practice , Restaurants , Program Development , Outsourcing/Offshoring , Sporting Goods",Zachary Mcfadden,1-743-158-6642,https://randomuser.me/api/portraits/men/38.jpg,0,America/Boise,Hnxuf8o7,2
yes,Ireland,orci.phasellus.dapibus@aol.org,"English , Google Sheets , Mailchimp , Java , My Salesforce , Figma , Project Management","Renewables & Environment , Chemicals , Alternative Medicine , Wireless , Broadcast Media",Violet Gutierrez,1-323-488-6173,https://randomuser.me/api/portraits/men/35.jpg,0,Europe/Dublin,JY4VDUGn,2
