approved?,country,Email,list_platforms,list_tags,Name,phone,photo,score,timezone_name,developerID
no,Sweden,egestas.rhoncus.proin@yahoo.ca,"Microsoft Teams , Tableau , ChatBot , Elementor Pro (plugin for WordPress) , FlutterFlow","Luxury Goods & Jewelry , Outsourcing/Offshoring , Sporting Goods , Mental Health Care , Program Development",Mufutau O'brien,(488) 532-2518,https://randomuser.me/api/portraits/men/5.jpg,1,Europe/Stockholm,4z8OGOTq
yes,Ireland,lobortis@aol.com,"English , JavaScript , Wordpress","Restaurants , Program Development , Utilities , Outsourcing/Offshoring , Political Organization",Michael Noble,(783) 895-4115,https://randomuser.me/api/portraits/women/58.jpg,5,Europe/Dublin,MAsW242Z
no,Poland,erat.etiam.vestibulum@aol.com,"English , Project Management , Bubble , Stripe , Hubspot , Webflow , Microsoft Teams","Sporting Goods , Renewables & Environment , Recreational Facilities and Services , Telecommunications , Newspapers",Calista Mcneil,1-554-275-0293,https://randomuser.me/api/portraits/men/18.jpg,3,Europe/Warsaw,l4rM3tDV
no,China,mollis@icloud.net,"English , Google Sheets , MySQL Google Sheets , Communication","Outsourcing/Offshoring , Venture Capital & Private Equity , Renewables & Environment , Medical Practice , Luxury Goods & Jewelry",Macaulay Kinney,1-276-410-2356,https://randomuser.me/api/portraits/women/45.jpg,3,Asia/Urumqi,J3ogNKvi
yes,Netherlands,a.dui@hotmail.ca,"English , Flutter , Canva , My Salesforce , Wordpress , Tableau , Elementor (plugin for Wordpress)","Museums and Institutions , Music , Management Consulting , Wireless , Health",Heidi Walters,1-621-682-1135,https://randomuser.me/api/portraits/men/90.jpg,4,Europe/Amsterdam,sl0Z79SJ
yes,Canada,dolor.nonummy.ac@google.couk,"Elementor Pro (plugin for WordPress) , Divi (WordPress plugin) , Figma , UX/UI Design , Wordpress , English , Shopify","Venture Capital & Private Equity , Tobacco , Newspapers , Textiles , Medical Practice",Bo Stanton,(786) 345-4414,https://randomuser.me/api/portraits/women/14.jpg,3,America/Cambridge_Bay,pGrtzcyx
yes,Russian Federation,cursus.nunc@yahoo.net,"Java , Don't know yet , CSS , Adalo , UX/UI Design , Bootstrap","Farming , Utilities , Market Research , Wholesale , Research",Jaden Duffy,(573) 493-9592,https://randomuser.me/api/portraits/men/9.jpg,9,Asia/Novosibirsk,EKVoTc1v
no,New Zealand,metus.aliquam@icloud.net,"Microsoft Teams , Adobe Illustrator , Salesforce , UX/UI Design , Webflow","Renewables & Environment , Research , Wholesale , Sporting Goods , Gambling & Casinos",Cody Park,1-328-655-1231,https://randomuser.me/api/portraits/women/93.jpg,0,Pacific/Chatham,USArOxYX
no,Spain,nec@google.edu,"JavaScript , Wordpress , English , Personality","Transportation/Trucking/Railroad , Wholesale , Legislative Office , Luxury Goods & Jewelry , Capital Markets",Castor Copeland,(572) 205-2146,https://randomuser.me/api/portraits/women/3.jpg,5,Africa/Ceuta,x8rDLKcr
no,New Zealand,lectus.convallis@icloud.org,"English , Wordpress , Mailchimp , Communication","Broadcast Media , Sporting Goods , Import and Export , Program Development , Biotechnology",Vance Patterson,1-517-554-2477,https://randomuser.me/api/portraits/men/28.jpg,1,Pacific/Auckland,5JkDAiV4
no,South Korea,ipsum.sodales@protonmail.org,"MightyForms , Coupler.io , Shopify , Google Ads , Data Studio , Airtable , Figma , Notion , UX/UI Design , Bubble","Health , Public Relations and Communications , Alternative Medicine , Translation and Localization , Luxury Goods & Jewelry",Kareem Ortega,(503) 388-5087,https://randomuser.me/api/portraits/women/72.jpg,5,,SEth7rpp
no,Singapore,vestibulum.ante@yahoo.ca,"Wordpress , Project Management , English , Personality","Political Organization , International Trade and Development , Human Resources , Electrical/Electronic Manufacturing , Health",Plato Baird,1-433-630-4721,https://randomuser.me/api/portraits/men/38.jpg,7,Asia/Singapore,Ix8t0VkG
yes,Indonesia,tincidunt@yahoo.com,"C# , JavaScript , API , MySQL Google Sheets","Human Resources , Law Practice , Recreational Facilities and Services , Photography , Sporting Goods",Hiroko Miller,1-791-959-1857,https://randomuser.me/api/portraits/men/42.jpg,10,Asia/Jakarta,GaagufvA
no,Chile,sed.dictum@google.com,"Figma , English , Elementor (plugin for Wordpress) , Project Management , HTML , UX/UI Design , Zoho Creator","Research , Health , Utilities , Renewables & Environment , Capital Markets",Dale Kane,(881) 574-5286,https://randomuser.me/api/portraits/women/70.jpg,6,Pacific/Easter,JP8jli6Z
yes,Russian Federation,aliquet@aol.couk,"Bubble , English , Zoho Creator , Divi (WordPress plugin) , Project Management , PHP , Shopify","Newspapers , Management Consulting , Tobacco , Legislative Office , Biotechnology",Tobias Mcdonald,1-771-863-1026,https://randomuser.me/api/portraits/men/60.jpg,6,Asia/Yakutsk,0ZQ15unm
yes,Philippines,varius.et.euismod@hotmail.net,"Adobe Photoshop , UX/UI Design , English","Supermarkets , Warehousing , Sporting Goods , Political Organization , Music",Julian Lawrence,(852) 793-4641,https://randomuser.me/api/portraits/women/35.jpg,8,Asia/Manila,reE5U9Dm
yes,Singapore,non.arcu@outlook.org,"Wordpress , Webflow , Personality","Transportation/Trucking/Railroad , Capital Markets , Primary/Secondary Education , Electrical/Electronic Manufacturing , Restaurants",Zeph Stephenson,(366) 389-7414,https://randomuser.me/api/portraits/men/79.jpg,5,Asia/Singapore,89JiWkHY
yes,Indonesia,amet.ultricies.sem@yahoo.com,"English  , My Salesforce , CSS , Adobe Illustrator","Accounting , Biotechnology , Transportation/Trucking/Railroad , Health , Wireless",Catherine Rodriquez,(965) 255-9788,https://randomuser.me/api/portraits/men/49.jpg,6,Asia/Jayapura,iOnB0rub
yes,Vietnam,tellus.faucibus.leo@outlook.ca,"Wordpress , English , Google Sheets","Gambling & Casinos , Farming , International Trade and Development , Program Development , Paper & Forest Products",Chava Fernandez,(469) 485-7779,https://randomuser.me/api/portraits/women/14.jpg,6,,8keDfW5a
yes,Netherlands,imperdiet.ornare@yahoo.couk,"Don't know yet , Wordpress , WooCommerce , AppGyver , Bootstrap","Wireless , Program Development , Biotechnology , Legal Services , Newspapers",Zelda Hayes,(835) 447-2538,https://randomuser.me/api/portraits/men/39.jpg,4,Europe/Amsterdam,GfwgqSv5
yes,Italy,blandit.congue@google.com,"English , Bubble , Personality","Market Research , Renewables & Environment , Sporting Goods , Wireless , Wholesale",Lamar Pacheco,1-726-742-7955,https://randomuser.me/api/portraits/women/59.jpg,8,Europe/Rome,gcJ1nNJY
yes,Ireland,nec.metus@icloud.com,"English , QA , Shopify , Stripe , UX/UI Design , Wix","Broadcast Media , Chemicals , Paper & Forest Products , Newspapers , Photography",Thaddeus Joseph,(753) 455-3835,https://randomuser.me/api/portraits/women/51.jpg,9,Europe/Dublin,MDaWg9kp
no,Italy,orci.phasellus.dapibus@aol.couk,"Google Analytics , Wix , Canva , API , Postman","Program Development , Primary/Secondary Education , Computer Networking , Telecommunications , Political Organization",Martha Buckner,(154) 327-6961,https://randomuser.me/api/portraits/men/18.jpg,7,Europe/Rome,6qjLYFp7
yes,Australia,ac.mattis@yahoo.edu,"English , My Salesforce , Figma , Stripe , Mailchimp , FlutterFlow","Public Relations and Communications , Primary/Secondary Education , Outsourcing/Offshoring , Human Resources , Chemicals",Omar Harrison,1-237-289-9160,https://randomuser.me/api/portraits/women/58.jpg,2,Australia/Brisbane,4exEoo4K
no,Vietnam,elit.nulla@hotmail.com,"Figma , Elementor (plugin for Wordpress) , Custom Code , Webflow , Salesforce","Warehousing , Luxury Goods & Jewelry , Music , Sporting Goods , International Trade and Development",Kylie Levine,(586) 697-5469,https://randomuser.me/api/portraits/men/32.jpg,9,,aXMorbiU
